number,uiId,soundId,name,category,type,synthType,technicalDescription,yourListeningNotes,bestMatchingGMPrograms,bestMatchingGMInstruments,confidence
1,lead,synth-lead,Lead,synth,melodic,MonoSynth,"Sawtooth oscillator, bright cutting tone, 0.5s sustain","(Listen and describe what instrument this reminds you of)","(GM program numbers 0-127)","(GM instrument names)","(high/medium/low)"
2,impact,fx-impact,Impact,fx,melodic,PolySynth,"Thick James Blake pad, fatsawtooth (3 detuned), warm wide character, slow attack","","","",""
3,sweep,fx-sweep,Sweep,fx,rhythmic,PolySynth,"Radiohead/Prophet-5 style, triangle wave, round smooth analog, gentle filter sweep","","","",""
4,vocal,fx-vocal-chop,Vocal Chop,fx,rhythmic,PolySynth,"Ethereal theremin-like, haunting ghostly, sine wave, slow attack (300ms), long release (2s)","","","",""
5,sub,bass-sub,Sub,bass,melodic,PolySynth,"Deep sub bass, pure sine with minimal harmonics, dark low-frequency focused","","","",""
6,wobble,bass-wobble,Wobble,bass,melodic,FMSynth,"FM synthesis, 0.5 harmonicity, modulated bass character","","","",""
7,pad,synth-pad,Pad,synth,melodic,Sampler,"Grand piano Salamander samples, realistic acoustic piano","","","",""
8,pluck,synth-pluck,Pluck,synth,melodic,PolySynth,"Sine wave bass, rich sustained, warm full-bodied with subtle harmonics","","","",""
9,arp,synth-arp,Arp,synth,melodic,Synth,"Square wave, short staccato envelope (attack 5ms, release 300ms), one-shot","","","",""
10,kick,drum-kick,Kick,drum,rhythmic,MembraneSynth,"Bass drum, pitch decay, 10 octaves sweep","","","",""
11,noise,fx-noise,Noise,fx,rhythmic,NoiseSynth,"Brown noise, 300ms decay, one-shot","","","",""
12,snare,drum-snare,Snare,drum,rhythmic,NoiseSynth,"White noise, snare character, 200ms decay, one-shot","","","",""
13,clap,drum-clap,Clap,drum,rhythmic,NoiseSynth,"Pink noise, hand clap character, 150ms decay, one-shot","","","",""
14,hihat,drum-hihat,Hi-hat,drum,rhythmic,MetalSynth,"Metallic, 200Hz frequency, 5.1 harmonicity, 4000 resonance, one-shot","","","",""
15,glitch,fx-glitch,Glitch,fx,rhythmic,MetalSynth,"Metallic percussion, 100Hz, high modulation, very short (50ms), one-shot","","","",""
16,riser,fx-riser,Riser,fx,rhythmic,NoiseSynth,"White noise, 1.0s attack (riser effect), 0.5s release","","","",""
